year,miles,price,brand,color_exterior,color_interior,accidents,number_of_owners
2021,14653.0,24999.0,Mercedes-Benz,Black,Black,0.0,3.0
2014,77173.0,17998.0,INFINITI,White,Gray,0.0,3.0
2013,96672.0,10927.0,Volkswagen,Black,Black,2.0,3.0
2011,127089.0,7995.0,BMW,Silver,Black,1.0,3.0
2021,21044.0,33998.0,Toyota,Black,Gray,0.0,1.0
2014,133384.0,16650.0,Chevrolet,White,Unknown,0.0,1.0
2021,64785.0,29469.0,Toyota,Gray,Black,0.0,1.0
2019,64587.0,21449.0,Dodge,Gray,Black,1.0,1.0
2021,12170.0,20442.0,Toyota,Silver,Black,1.0,1.0
2015,101711.0,15998.0,Toyota,Silver,Black,1.0,2.0
2019,41075.0,26991.0,Mercedes-Benz,Black,Black,1.0,1.0
2021,24212.0,20394.0,Toyota,White,Black,0.0,1.0
2021,17269.0,48991.0,Volvo,Black,Black,0.0,1.0
2021,26311.0,38987.0,Jeep,Gray,Black,0.0,1.0
2020,42700.0,23998.0,Mazda,Red,Beige,0.0,1.0
2017,72071.0,17998.0,BMW,Black,Black,0.0,2.0
2020,46797.0,20998.0,Volkswagen,Red,Black,0.0,1.0
2022,41386.0,19998.0,Chevrolet,Silver,Black,1.0,1.0
2021,12548.0,28699.0,Subaru,White,Brown,0.0,1.0
2022,5189.0,57444.0,Ford,Silver,Beige,0.0,1.0
2023,9431.0,40018.0,Mercedes-Benz,White,Black,0.0,1.0
2021,20874.0,41394.0,Toyota,Green,Black,0.0,1.0
2023,4888.0,44672.0,Audi,Gray,Black,0.0,1.0
2023,3271.0,45222.0,BMW,Black,Black,0.0,1.0
2021,37321.0,31329.0,Mercedes-Benz,White,Black,1.0,1.0
2020,34869.0,24995.0,Subaru,White,Black,0.0,1.0
2021,59839.0,19988.0,Nissan,White,Black,0.0,2.0
2011,64526.0,11420.0,Toyota,Gray,Gray,2.0,1.0
2023,5609.0,35479.0,Subaru,White,Gray,0.0,1.0
2015,122881.0,10495.0,Hyundai,White,Black,0.0,2.0
2020,18786.0,29440.0,Mercedes-Benz,White,Beige,0.0,1.0
2020,8181.0,19995.0,Honda,White,Unknown,0.0,1.0
2018,27646.0,26260.0,Jeep,Red,Black,1.0,2.0
2022,27681.0,20499.0,Toyota,Silver,Black,0.0,1.0
2022,5873.0,43887.0,Mercedes-Benz,White,Black,0.0,1.0
2022,31666.0,24988.0,Toyota,Gray,Unknown,0.0,1.0
2022,10301.0,34649.0,Honda,White,Black,0.0,1.0
2007,97688.0,7995.0,BMW,Silver,Gray,1.0,2.0
2016,78768.0,21999.0,BMW,Gray,Brown,1.0,2.0
2020,25727.0,26998.0,BMW,Black,Black,1.0,1.0
2022,31748.0,25499.0,Subaru,White,Gray,0.0,1.0
